YEAR,SEX,MARSTAT,RELCURR,RELDLIFE,STAYTOG,HIEDUC
2006_2010,m,Married to a person of the opposite sex,None,N/A,Agree,College degree
2006_2010,m,Never been married,None,N/A,Disagree,College degree
2006_2010,m,Never been married,Christian,Very important,Disagree,High school degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Very important,Disagree,College degree
2006_2010,m,Never been married,None,N/A,Agree,High school degree
2006_2010,m,Never been married,None,N/A,Disagree,College degree
2006_2010,m,Never been married,Refused,Don't know,Other,High school degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Disagree,High school degree
2006_2010,m,Divorced or annulled,Christian,Somewhat important,Agree,Graduate degree
2006_2010,m,Not married but living together with a partner of the opposite sex,None,N/A,Agree,High school degree
2006_2010,m,Never been married,Christian,Not important,Agree,High school degree
2006_2010,m,Never been married,None,N/A,Agree,Graduate degree
2006_2010,m,Never been married,Don't know,Somewhat important,Disagree,No high school degree
2006_2010,m,Divorced or annulled,None,N/A,Agree,College degree
2006_2010,m,Married to a person of the opposite sex,Christian,Not important,Other,Graduate degree
2006_2010,m,Never been married,None,N/A,Agree,College degree
2006_2010,m,Not married but living together with a partner of the opposite sex,None,N/A,Agree,College degree
2006_2010,m,Never been married,Other religion,Very important,Disagree,College degree
2006_2010,m,Never been married,Other religion,Somewhat important,Disagree,College degree
2006_2010,m,Never been married,Christian,Very important,Disagree,High school degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2006_2010,m,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,College degree
2006_2010,m,Never been married,None,N/A,Disagree,College degree
2006_2010,m,Never been married,Christian,Not important,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Agree,College degree
2006_2010,m,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,College degree
2006_2010,m,Divorced or annulled,None,N/A,Agree,High school degree
2006_2010,m,"Separated, because you and your spouse are not getting along",Christian,Very important,Disagree,No high school degree
2006_2010,m,Divorced or annulled,Catholic,Somewhat important,Agree,College degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Agree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Agree,No high school degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2006_2010,m,Never been married,None,N/A,Disagree,High school degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Agree,Graduate degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Somewhat important,Disagree,Graduate degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Agree,No high school degree
2006_2010,m,Never been married,Christian,Somewhat important,Disagree,No high school degree
2006_2010,m,Never been married,None,N/A,Agree,No high school degree
2006_2010,m,Never been married,Christian,Somewhat important,Disagree,College degree
2006_2010,m,Never been married,Catholic,Very important,Disagree,No high school degree
2006_2010,m,Not married but living together with a partner of the opposite sex,None,N/A,Agree,High school degree
2006_2010,m,Divorced or annulled,None,N/A,Disagree,College degree
2006_2010,m,Never been married,Other religion,Somewhat important,Disagree,No high school degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Agree,High school degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Agree,No high school degree
2006_2010,m,Never been married,None,N/A,Agree,College degree
2006_2010,m,Never been married,Other religion,Somewhat important,Agree,College degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,Graduate degree
2006_2010,m,Never been married,Christian,Very important,Disagree,No high school degree
2006_2010,m,Never been married,None,N/A,Agree,Graduate degree
2006_2010,m,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,College degree
2006_2010,m,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2006_2010,m,Married to a person of the opposite sex,Catholic,Somewhat important,Agree,Graduate degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2006_2010,m,Never been married,None,N/A,Agree,No high school degree
2006_2010,m,Never been married,Christian,Somewhat important,Disagree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2006_2010,m,Never been married,Catholic,Very important,Disagree,High school degree
2006_2010,m,Never been married,Christian,Very important,Agree,College degree
2006_2010,m,Never been married,None,N/A,Agree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2006_2010,m,Not married but living together with a partner of the opposite sex,Catholic,Somewhat important,Disagree,High school degree
2006_2010,m,Never been married,Other religion,Somewhat important,Agree,College degree
2006_2010,m,Married to a person of the opposite sex,Christian,Very important,Other,High school degree
2006_2010,m,Divorced or annulled,Christian,Not important,Disagree,College degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Very important,Disagree,College degree
2006_2010,m,Married to a person of the opposite sex,None,N/A,Agree,Graduate degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Somewhat important,Agree,Graduate degree
2006_2010,m,Never been married,None,N/A,Agree,High school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Very important,Agree,High school degree
2006_2010,m,Married to a person of the opposite sex,Catholic,Very important,Disagree,High school degree
2006_2010,m,Divorced or annulled,Catholic,Very important,Agree,No high school degree
2006_2010,m,Never been married,Christian,Very important,Disagree,College degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Somewhat important,Agree,High school degree
2006_2010,m,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2006_2010,m,Never been married,None,N/A,Agree,College degree
2006_2010,m,Never been married,None,N/A,Disagree,Graduate degree
2006_2010,m,Never been married,None,N/A,Agree,High school degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Somewhat important,Disagree,Graduate degree
2006_2010,m,Never been married,None,N/A,Disagree,No high school degree
2006_2010,m,Married to a person of the opposite sex,Other religion,Not important,Agree,College degree
2006_2010,m,Never been married,None,N/A,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Agree,Graduate degree
2006_2010,m,Never been married,None,N/A,Agree,High school degree
2006_2010,m,Never been married,Christian,Very important,Disagree,No high school degree
2006_2010,m,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,High school degree
2006_2010,m,Married to a person of the opposite sex,Catholic,Somewhat important,Agree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,College degree
2006_2010,m,Never been married,Catholic,Somewhat important,Agree,No high school degree
2006_2010,m,Never been married,Christian,Somewhat important,Disagree,No high school degree
2006_2010,m,Never been married,Christian,Very important,Agree,High school degree
2006_2010,m,Never been married,Catholic,Not important,Agree,No high school degree
2006_2010,m,Never been married,Catholic,Somewhat important,Disagree,High school degree
2006_2010,m,Never been married,None,N/A,Agree,High school degree
